model,dataset,layer,token_source,metric,delta_rel,noise_floor,cloud_kind
Qwen/Qwen2.5-7B,prontoqa,16,input,per_cloud,0.1139,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,16,input,background,0.1989,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,16,generated,raw,0.2549,0.0076,data
Qwen/Qwen2.5-7B,prontoqa,16,generated,pca_only,0.257,0.0075,data
Qwen/Qwen2.5-7B,prontoqa,16,generated,per_cloud,0.1071,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,16,generated,background,0.2481,0.0074,data
Qwen/Qwen2.5-7B,prontoqa,16,thinking,raw,0.1843,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,16,thinking,pca_only,0.1848,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,16,thinking,per_cloud,0.0823,0.0019,data
Qwen/Qwen2.5-7B,prontoqa,16,thinking,background,0.1709,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,16,last,raw,0.1334,0.0062,data
Qwen/Qwen2.5-7B,prontoqa,16,last,pca_only,0.1336,0.0062,data
Qwen/Qwen2.5-7B,prontoqa,16,last,per_cloud,0.0833,0.0031,data
Qwen/Qwen2.5-7B,prontoqa,16,last,background,0.1572,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,16,all,raw,0.2366,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,16,all,pca_only,0.2385,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,16,all,per_cloud,0.1119,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,16,all,background,0.2351,0.006,data
Qwen/Qwen2.5-7B,prontoqa,17,input,raw,0.1797,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,17,input,pca_only,0.1821,0.0059,data
Qwen/Qwen2.5-7B,prontoqa,17,input,per_cloud,0.1128,0.003,data
Qwen/Qwen2.5-7B,prontoqa,17,input,background,0.1962,0.0083,data
Qwen/Qwen2.5-7B,prontoqa,17,generated,raw,0.2582,0.0076,data
Qwen/Qwen2.5-7B,prontoqa,17,generated,pca_only,0.2602,0.0077,data
Qwen/Qwen2.5-7B,prontoqa,17,generated,per_cloud,0.1065,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,17,generated,background,0.2606,0.0079,data
Qwen/Qwen2.5-7B,prontoqa,17,thinking,raw,0.1844,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,17,thinking,pca_only,0.185,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,17,thinking,per_cloud,0.0806,0.002,data
Qwen/Qwen2.5-7B,prontoqa,17,thinking,background,0.1765,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,17,last,raw,0.1354,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,17,last,pca_only,0.1355,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,17,last,per_cloud,0.0823,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,17,last,background,0.1708,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,17,all,raw,0.2443,0.0059,data
Qwen/Qwen2.5-7B,prontoqa,17,all,pca_only,0.2466,0.006,data
Qwen/Qwen2.5-7B,prontoqa,17,all,per_cloud,0.1112,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,17,all,background,0.2443,0.0064,data
Qwen/Qwen2.5-7B,prontoqa,18,input,raw,0.1762,0.0057,data
Qwen/Qwen2.5-7B,prontoqa,18,input,pca_only,0.1788,0.0059,data
Qwen/Qwen2.5-7B,prontoqa,18,input,per_cloud,0.1122,0.0033,data
Qwen/Qwen2.5-7B,prontoqa,18,input,background,0.1914,0.0081,data
Qwen/Qwen2.5-7B,prontoqa,18,generated,raw,0.2496,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,18,generated,pca_only,0.2517,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,18,generated,per_cloud,0.1068,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,18,generated,background,0.2516,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,18,thinking,raw,0.188,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,18,thinking,pca_only,0.1887,0.0057,data
Qwen/Qwen2.5-7B,prontoqa,18,thinking,per_cloud,0.0805,0.002,data
Qwen/Qwen2.5-7B,prontoqa,18,thinking,background,0.1765,0.0054,data
Qwen/Qwen2.5-7B,prontoqa,18,last,raw,0.1424,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,18,last,pca_only,0.1426,0.0041,data
Qwen/Qwen2.5-7B,prontoqa,18,last,per_cloud,0.0838,0.0034,data
Qwen/Qwen2.5-7B,prontoqa,18,last,background,0.1862,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,18,all,raw,0.2383,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,18,all,pca_only,0.2406,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,18,all,per_cloud,0.1098,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,18,all,background,0.2414,0.0061,data
Qwen/Qwen2.5-7B,prontoqa,19,input,raw,0.1784,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,19,input,pca_only,0.1814,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,19,input,per_cloud,0.1102,0.0034,data
Qwen/Qwen2.5-7B,prontoqa,19,input,background,0.1934,0.008,data
Qwen/Qwen2.5-7B,prontoqa,19,generated,raw,0.2522,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,19,generated,pca_only,0.2543,0.0057,data
Qwen/Qwen2.5-7B,prontoqa,19,generated,per_cloud,0.1051,0.0022,data
Qwen/Qwen2.5-7B,prontoqa,19,generated,background,0.2627,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,19,thinking,raw,0.1852,0.006,data
Qwen/Qwen2.5-7B,prontoqa,19,thinking,pca_only,0.1859,0.006,data
Qwen/Qwen2.5-7B,prontoqa,19,thinking,per_cloud,0.0812,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,19,thinking,background,0.1808,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,19,last,raw,0.1428,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,19,last,pca_only,0.1429,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,19,last,per_cloud,0.0828,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,19,last,background,0.1718,0.0081,data
Qwen/Qwen2.5-7B,prontoqa,19,all,raw,0.2367,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,19,all,pca_only,0.2392,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,19,all,per_cloud,0.1085,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,19,all,background,0.2492,0.0054,data
Qwen/Qwen2.5-7B,prontoqa,20,input,raw,0.2049,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,20,input,pca_only,0.208,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,20,input,per_cloud,0.1088,0.0044,data
Qwen/Qwen2.5-7B,prontoqa,20,input,background,0.2233,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,20,generated,raw,0.2542,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,20,generated,pca_only,0.256,0.0068,data
Qwen/Qwen2.5-7B,prontoqa,20,generated,per_cloud,0.1039,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,20,generated,background,0.2639,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,20,thinking,raw,0.1891,0.006,data
Qwen/Qwen2.5-7B,prontoqa,20,thinking,pca_only,0.1897,0.0061,data
Qwen/Qwen2.5-7B,prontoqa,20,thinking,per_cloud,0.0809,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,20,thinking,background,0.1857,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,20,last,raw,0.1301,0.0049,data
Qwen/Qwen2.5-7B,prontoqa,20,last,pca_only,0.1302,0.0049,data
Qwen/Qwen2.5-7B,prontoqa,20,last,per_cloud,0.0815,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,20,last,background,0.1657,0.0057,data
Qwen/Qwen2.5-7B,prontoqa,20,all,raw,0.2402,0.006,data
Qwen/Qwen2.5-7B,prontoqa,20,all,pca_only,0.2426,0.0059,data
Qwen/Qwen2.5-7B,prontoqa,20,all,per_cloud,0.1078,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,20,all,background,0.2494,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,21,input,raw,0.2188,0.009,data
Qwen/Qwen2.5-7B,prontoqa,21,input,pca_only,0.2224,0.0091,data
Qwen/Qwen2.5-7B,prontoqa,21,input,per_cloud,0.1086,0.0046,data
Qwen/Qwen2.5-7B,prontoqa,21,input,background,0.2308,0.009,data
Qwen/Qwen2.5-7B,prontoqa,21,generated,raw,0.2535,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,21,generated,pca_only,0.2555,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,21,generated,per_cloud,0.104,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,21,generated,background,0.2592,0.006,data
Qwen/Qwen2.5-7B,prontoqa,21,thinking,raw,0.1851,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,21,thinking,pca_only,0.1858,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,21,thinking,per_cloud,0.0815,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,21,thinking,background,0.1811,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,21,last,raw,0.1254,0.0052,data
Qwen/Qwen2.5-7B,prontoqa,21,last,pca_only,0.1255,0.0052,data
Qwen/Qwen2.5-7B,prontoqa,21,last,per_cloud,0.0827,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,21,last,background,0.1564,0.0039,data
Qwen/Qwen2.5-7B,prontoqa,21,all,raw,0.2408,0.0057,data
Qwen/Qwen2.5-7B,prontoqa,21,all,pca_only,0.243,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,21,all,per_cloud,0.1086,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,21,all,background,0.244,0.0052,data
Qwen/Qwen2.5-7B,prontoqa,22,input,raw,0.2471,0.0095,data
Qwen/Qwen2.5-7B,prontoqa,22,input,pca_only,0.2506,0.0096,data
Qwen/Qwen2.5-7B,prontoqa,22,input,per_cloud,0.1083,0.0049,data
Qwen/Qwen2.5-7B,prontoqa,22,input,background,0.246,0.0098,data
Qwen/Qwen2.5-7B,prontoqa,22,generated,raw,0.2495,0.0086,data
Qwen/Qwen2.5-7B,prontoqa,22,generated,pca_only,0.2511,0.0088,data
Qwen/Qwen2.5-7B,prontoqa,22,generated,per_cloud,0.1035,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,22,generated,background,0.2538,0.0064,data
Qwen/Qwen2.5-7B,prontoqa,22,thinking,raw,0.1794,0.0068,data
Qwen/Qwen2.5-7B,prontoqa,22,thinking,pca_only,0.1801,0.0068,data
Qwen/Qwen2.5-7B,prontoqa,22,thinking,per_cloud,0.082,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,22,thinking,background,0.173,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,22,last,raw,0.1181,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,22,last,pca_only,0.1182,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,22,last,per_cloud,0.0821,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,22,last,background,0.152,0.0064,data
Qwen/Qwen2.5-7B,prontoqa,22,all,raw,0.2477,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,22,all,pca_only,0.2496,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,22,all,per_cloud,0.1087,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,22,all,background,0.2398,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,23,input,raw,0.2512,0.0085,data
Qwen/Qwen2.5-7B,prontoqa,23,input,pca_only,0.2548,0.0087,data
Qwen/Qwen2.5-7B,prontoqa,23,input,per_cloud,0.1078,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,23,input,background,0.2471,0.0088,data
Qwen/Qwen2.5-7B,prontoqa,23,generated,raw,0.2462,0.008,data
Qwen/Qwen2.5-7B,prontoqa,23,generated,pca_only,0.2481,0.0081,data
Qwen/Qwen2.5-7B,prontoqa,23,generated,per_cloud,0.1051,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,23,generated,background,0.2461,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,23,thinking,raw,0.1845,0.0073,data
Qwen/Qwen2.5-7B,prontoqa,23,thinking,pca_only,0.1852,0.0073,data
Qwen/Qwen2.5-7B,prontoqa,23,thinking,per_cloud,0.0834,0.0035,data
Qwen/Qwen2.5-7B,prontoqa,23,thinking,background,0.1807,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,23,last,raw,0.1096,0.006,data
Qwen/Qwen2.5-7B,prontoqa,23,last,pca_only,0.1097,0.006,data
Qwen/Qwen2.5-7B,prontoqa,23,last,per_cloud,0.0827,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,23,last,background,0.1242,0.0116,data
Qwen/Qwen2.5-7B,prontoqa,23,all,raw,0.2428,0.0062,data
Qwen/Qwen2.5-7B,prontoqa,23,all,pca_only,0.2453,0.0064,data
Qwen/Qwen2.5-7B,prontoqa,23,all,per_cloud,0.1099,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,23,all,background,0.2302,0.005,data
Qwen/Qwen2.5-7B,prontoqa,24,input,raw,0.2491,0.0076,data
Qwen/Qwen2.5-7B,prontoqa,24,input,pca_only,0.2531,0.0076,data
Qwen/Qwen2.5-7B,prontoqa,24,input,per_cloud,0.1076,0.0049,data
Qwen/Qwen2.5-7B,prontoqa,24,input,background,0.254,0.0084,data
Qwen/Qwen2.5-7B,prontoqa,24,generated,raw,0.2442,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,24,generated,pca_only,0.2459,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,24,generated,per_cloud,0.1053,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,24,generated,background,0.2425,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,24,thinking,raw,0.1777,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,24,thinking,pca_only,0.1782,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,24,thinking,per_cloud,0.0844,0.0035,data
Qwen/Qwen2.5-7B,prontoqa,24,thinking,background,0.1775,0.0092,data
Qwen/Qwen2.5-7B,prontoqa,24,last,raw,0.1043,0.0049,data
Qwen/Qwen2.5-7B,prontoqa,24,last,pca_only,0.1045,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,24,last,per_cloud,0.0847,0.002,data
Qwen/Qwen2.5-7B,prontoqa,24,last,background,0.1197,0.0127,data
Qwen/Qwen2.5-7B,prontoqa,24,all,raw,0.2402,0.0059,data
Qwen/Qwen2.5-7B,prontoqa,24,all,pca_only,0.2425,0.0059,data
Qwen/Qwen2.5-7B,prontoqa,24,all,per_cloud,0.1098,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,24,all,background,0.2254,0.0041,data
Qwen/Qwen2.5-7B,prontoqa,25,input,raw,0.2493,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,25,input,pca_only,0.2534,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,25,input,per_cloud,0.1092,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,25,input,background,0.2529,0.0084,data
Qwen/Qwen2.5-7B,prontoqa,25,generated,raw,0.2271,0.0072,data
Qwen/Qwen2.5-7B,prontoqa,25,generated,pca_only,0.229,0.0072,data
Qwen/Qwen2.5-7B,prontoqa,25,generated,per_cloud,0.1056,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,25,generated,background,0.2334,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,25,thinking,raw,0.1834,0.0076,data
Qwen/Qwen2.5-7B,prontoqa,25,thinking,pca_only,0.1845,0.0077,data
Qwen/Qwen2.5-7B,prontoqa,25,thinking,per_cloud,0.0877,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,25,thinking,background,0.1837,0.009,data
Qwen/Qwen2.5-7B,prontoqa,25,last,raw,0.1021,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,25,last,pca_only,0.1022,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,25,last,per_cloud,0.0841,0.0019,data
Qwen/Qwen2.5-7B,prontoqa,25,last,background,0.137,0.0158,data
Qwen/Qwen2.5-7B,prontoqa,25,all,raw,0.2307,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,25,all,pca_only,0.2329,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,25,all,per_cloud,0.1119,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,25,all,background,0.2202,0.0045,data
Qwen/Qwen2.5-7B,prontoqa,26,input,raw,0.2395,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,26,input,pca_only,0.2439,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,26,input,per_cloud,0.1077,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,26,input,background,0.247,0.0073,data
Qwen/Qwen2.5-7B,prontoqa,26,generated,raw,0.2331,0.0076,data
Qwen/Qwen2.5-7B,prontoqa,26,generated,pca_only,0.2353,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,26,generated,per_cloud,0.1063,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,26,generated,background,0.2283,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,26,thinking,raw,0.1803,0.0079,data
Qwen/Qwen2.5-7B,prontoqa,26,thinking,pca_only,0.1811,0.008,data
Qwen/Qwen2.5-7B,prontoqa,26,thinking,per_cloud,0.0902,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,26,thinking,background,0.1751,0.01,data
Qwen/Qwen2.5-7B,prontoqa,26,last,raw,0.1028,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,26,last,pca_only,0.1029,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,26,last,per_cloud,0.0844,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,26,last,background,0.126,0.0156,data
Qwen/Qwen2.5-7B,prontoqa,26,all,raw,0.2345,0.0061,data
Qwen/Qwen2.5-7B,prontoqa,26,all,pca_only,0.2369,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,26,all,per_cloud,0.1111,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,26,all,background,0.2173,0.0045,data
Qwen/Qwen2.5-7B,prontoqa,27,input,raw,0.2076,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,27,input,pca_only,0.2113,0.0059,data
Qwen/Qwen2.5-7B,prontoqa,27,input,per_cloud,0.1087,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,27,input,background,0.235,0.0068,data
Qwen/Qwen2.5-7B,prontoqa,27,generated,raw,0.222,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,27,generated,pca_only,0.2243,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,27,generated,per_cloud,0.1071,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,27,generated,background,0.2177,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,27,thinking,raw,0.206,0.0081,data
Qwen/Qwen2.5-7B,prontoqa,27,thinking,pca_only,0.2071,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,27,thinking,per_cloud,0.0925,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,27,thinking,background,0.2104,0.0115,data
Qwen/Qwen2.5-7B,prontoqa,27,last,raw,0.1028,0.004,data
Qwen/Qwen2.5-7B,prontoqa,27,last,pca_only,0.103,0.004,data
Qwen/Qwen2.5-7B,prontoqa,27,last,per_cloud,0.0846,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,27,last,background,0.1166,0.011,data
Qwen/Qwen2.5-7B,prontoqa,27,all,raw,0.2264,0.0054,data
Qwen/Qwen2.5-7B,prontoqa,27,all,pca_only,0.2291,0.0054,data
Qwen/Qwen2.5-7B,prontoqa,27,all,per_cloud,0.1133,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,27,all,background,0.218,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,28,input,raw,0.2241,0.009,data
Qwen/Qwen2.5-7B,prontoqa,28,input,pca_only,0.2261,0.0091,data
Qwen/Qwen2.5-7B,prontoqa,28,input,per_cloud,0.117,0.0032,data
Qwen/Qwen2.5-7B,prontoqa,28,input,background,0.2405,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,28,generated,raw,0.2424,0.0061,data
Qwen/Qwen2.5-7B,prontoqa,28,generated,pca_only,0.2439,0.0062,data
Qwen/Qwen2.5-7B,prontoqa,28,generated,per_cloud,0.1116,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,28,generated,background,0.23,0.003,data
Qwen/Qwen2.5-7B,prontoqa,28,thinking,raw,0.2409,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,28,thinking,pca_only,0.2415,0.0055,data
Qwen/Qwen2.5-7B,prontoqa,28,thinking,per_cloud,0.0942,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,28,thinking,background,0.225,0.0052,data
Qwen/Qwen2.5-7B,prontoqa,28,last,raw,0.2465,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,28,last,pca_only,0.2466,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,28,last,per_cloud,0.0851,0.0021,data
Qwen/Qwen2.5-7B,prontoqa,28,last,background,0.0949,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,28,all,raw,0.2422,0.0056,data
Qwen/Qwen2.5-7B,prontoqa,28,all,pca_only,0.2438,0.0057,data
Qwen/Qwen2.5-7B,prontoqa,28,all,per_cloud,0.1155,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,28,all,background,0.2376,0.0036,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,-1,control,distance_matrix,0.0,0.0,tree_control
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,-1,control,raw,0.1912,0.0018,gaussian_control
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,-1,control,raw,0.2019,0.0019,sphere_control
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,raw,0.2449,0.0109,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,pca_only,0.2449,0.0109,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,per_cloud,0.242,0.0043,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,background,0.2439,0.0095,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,raw,0.2158,0.004,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,pca_only,0.2204,0.004,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,per_cloud,0.1087,0.0029,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,background,0.2172,0.0048,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,raw,0.2093,0.0055,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,pca_only,0.2093,0.0055,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,per_cloud,0.1094,0.0022,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,background,0.208,0.0061,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,raw,0.0831,0.0057,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,pca_only,0.0901,0.0047,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,per_cloud,0.0633,0.0042,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,background,0.1438,0.0034,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,raw,0.2272,0.0038,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,pca_only,0.2307,0.0038,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,per_cloud,0.1078,0.0031,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,background,0.2276,0.0038,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,input,raw,0.2528,0.0075,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,input,pca_only,0.253,0.0075,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,input,per_cloud,0.1123,0.0025,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,input,background,0.2555,0.0062,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,generated,raw,0.217,0.0043,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,generated,pca_only,0.2223,0.0043,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,generated,per_cloud,0.1087,0.003,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,generated,background,0.2322,0.0053,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,raw,0.1968,0.0058,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,pca_only,0.1977,0.0059,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,per_cloud,0.0981,0.0027,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,background,0.2018,0.006,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,raw,0.0668,0.003,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,pca_only,0.0779,0.0036,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,per_cloud,0.0696,0.0029,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,background,0.1243,0.0045,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,raw,0.2326,0.0049,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,pca_only,0.2368,0.0051,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,per_cloud,0.1082,0.0027,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,background,0.2417,0.0047,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,raw,0.2544,0.0071,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,pca_only,0.2547,0.0071,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,per_cloud,0.1143,0.0021,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,background,0.2626,0.0042,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,raw,0.21,0.0049,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,pca_only,0.2148,0.005,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,per_cloud,0.1091,0.003,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,background,0.2338,0.0045,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,raw,0.1955,0.0102,data
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,pca_only,0.1969,0.0104,data
