model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,1,all,raw,0.2383,0.0329,0.0748,0.0656,-0.042,,-0.1727,0.0072,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,all,pca_only,0.2492,0.2167,0.0745,0.147,0.1422,-0.229,-0.1022,0.0075,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,all,per_cloud,0.1949,0.2168,0.1122,0.1625,0.1045,0.2092,-0.0324,0.0079,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,all,background,0.2322,0.1414,0.0677,0.1059,0.0736,-1.2338,-0.1263,0.0078,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,input,raw,0.2489,0.0329,0.0748,0.1059,-0.042,,-0.1431,0.0085,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,input,pca_only,0.2512,0.2167,0.0745,0.1446,0.1422,-0.2429,-0.1066,0.0085,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,input,per_cloud,0.2022,0.2168,0.1122,0.1497,0.1045,0.139,-0.0526,0.004,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,input,background,0.2544,0.1377,0.0974,0.1369,0.0402,-2.9009,-0.1175,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,generated,raw,0.2259,0.0329,0.0748,0.0598,-0.042,,-0.1661,0.0071,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,generated,pca_only,0.2362,0.2167,0.0745,0.1458,0.1422,-0.1374,-0.0904,0.0081,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,generated,per_cloud,0.1966,0.2168,0.1122,0.1866,0.1045,0.1927,-0.01,0.0058,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,generated,background,0.206,0.1377,0.0974,0.0911,0.0402,-1.6988,-0.1149,0.008,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,thinking,raw,0.2039,0.0329,0.0748,0.0428,-0.042,,-0.1611,0.0192,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,thinking,pca_only,0.2051,0.2167,0.0745,0.0984,0.1422,0.0814,-0.1067,0.0192,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,thinking,per_cloud,0.1436,0.2168,0.1122,0.1182,0.1045,0.7004,-0.0253,0.0077,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,thinking,background,0.2268,0.1377,0.0974,0.1484,0.0402,-2.2147,-0.0784,0.0198,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,last,raw,0.0688,0.0329,0.0748,0.0354,-0.042,,-0.0334,0.0079,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,last,pca_only,0.0691,0.2167,0.0745,0.1904,0.1422,1.038,0.1214,0.0079,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,last,per_cloud,0.1398,0.2168,0.1122,0.2022,0.1045,0.7361,0.0623,0.0085,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,last,background,0.1029,0.1377,0.0974,0.126,0.0402,0.8631,0.0231,0.011,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,all,raw,0.2322,0.0329,0.0748,0.0695,-0.042,,-0.1626,0.0065,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,all,pca_only,0.241,0.2167,0.0745,0.1424,0.1422,-0.1714,-0.0986,0.0065,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,all,per_cloud,0.1999,0.2168,0.1122,0.1708,0.1045,0.1611,-0.0291,0.0054,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,all,background,0.2224,0.1377,0.0974,0.1007,0.0402,-2.1073,-0.1217,0.0085,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,input,raw,0.251,0.0329,0.0748,0.088,-0.042,,-0.163,0.0065,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,input,pca_only,0.2541,0.2167,0.0745,0.1682,0.1422,-0.2634,-0.0859,0.0063,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,input,per_cloud,0.2052,0.2168,0.1122,0.1731,0.1045,0.1107,-0.0321,0.0047,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,input,background,0.257,0.1365,0.0717,0.1413,0.0648,-1.8592,-0.1157,0.0083,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,generated,raw,0.2204,0.0329,0.0748,0.0597,-0.042,,-0.1607,0.005,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,generated,pca_only,0.2302,0.2167,0.0745,0.1476,0.1422,-0.0953,-0.0826,0.0053,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,generated,per_cloud,0.1974,0.2168,0.1122,0.199,0.1045,0.185,0.0016,0.0055,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,generated,background,0.2164,0.1365,0.0717,0.0973,0.0648,-1.2327,-0.1191,0.0093,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,thinking,raw,0.1967,0.0329,0.0748,0.0385,-0.042,,-0.1582,0.0163,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,thinking,pca_only,0.1977,0.2167,0.0745,0.0952,0.1422,0.1332,-0.1025,0.0165,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,thinking,per_cloud,0.144,0.2168,0.1122,0.119,0.1045,0.6965,-0.025,0.007,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,thinking,background,0.2061,0.1365,0.0717,0.1304,0.0648,-1.0743,-0.0758,0.0184,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,last,raw,0.0461,0.0329,0.0748,0.0351,-0.042,,-0.011,0.0081,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,last,pca_only,0.0462,0.2167,0.0745,0.1924,0.1422,1.1992,0.1463,0.0079,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,last,per_cloud,0.1404,0.2168,0.1122,0.1977,0.1045,0.7304,0.0572,0.009,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,last,background,0.0616,0.1365,0.0717,0.1437,0.0648,1.1562,0.0821,0.0009,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,all,raw,0.2298,0.0329,0.0748,0.066,-0.042,,-0.1639,0.0067,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,all,pca_only,0.238,0.2167,0.0745,0.1509,0.1422,-0.1499,-0.087,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,all,per_cloud,0.2041,0.2168,0.1122,0.19,0.1045,0.121,-0.0141,0.0052,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,all,background,0.2275,0.1365,0.0717,0.1068,0.0648,-1.4036,-0.1207,0.0075,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,input,raw,0.2522,0.0329,0.0748,0.088,-0.042,,-0.1642,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,input,pca_only,0.255,0.2167,0.0745,0.1326,0.1422,-0.2699,-0.1224,0.0065,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,input,per_cloud,0.2081,0.2168,0.1122,0.1488,0.1045,0.0825,-0.0593,0.0052,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,input,background,0.2452,0.1384,0.0661,0.1341,0.0723,-1.4769,-0.111,0.0082,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,generated,raw,0.2204,0.0329,0.0748,0.0632,-0.042,,-0.1571,0.0059,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,generated,pca_only,0.2314,0.2167,0.0745,0.1201,0.1422,-0.1039,-0.1114,0.0061,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,generated,per_cloud,0.1964,0.2168,0.1122,0.1671,0.1045,0.1952,-0.0292,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,generated,background,0.2042,0.1384,0.0661,0.0887,0.0723,-0.9098,-0.1154,0.007,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,thinking,raw,0.1933,0.0329,0.0748,0.0483,-0.042,,-0.145,0.0165,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,thinking,pca_only,0.1941,0.2167,0.0745,0.0926,0.1422,0.1584,-0.1015,0.0165,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,thinking,per_cloud,0.1357,0.2168,0.1122,0.1194,0.1045,0.7755,-0.0163,0.0077,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,thinking,background,0.1968,0.1384,0.0661,0.1572,0.0723,-0.8077,-0.0396,0.0202,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,last,raw,0.0552,0.0329,0.0748,0.035,-0.042,,-0.0202,0.0073,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,last,pca_only,0.0553,0.2167,0.0745,0.1971,0.1422,1.1349,0.1418,0.0072,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,last,per_cloud,0.139,0.2168,0.1122,0.1988,0.1045,0.7444,0.0599,0.0086,100,3584
