model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,per_cloud,0.1717,0.2168,0.1122,0.0912,0.1045,0.4312,-0.0805,0.0089,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,background,0.1913,0.1335,0.0725,0.2126,0.0611,-0.9447,0.0213,0.0114,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,raw,0.0516,0.0329,0.0748,0.0353,-0.042,,-0.0162,0.0119,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,pca_only,0.0525,0.2167,0.0745,0.1639,0.1422,1.1547,0.1114,0.0116,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,per_cloud,0.1437,0.2168,0.1122,0.163,0.1045,0.6989,0.0193,0.0065,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,background,0.0493,0.1335,0.0725,0.1238,0.0611,1.3784,0.0744,0.0077,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,raw,0.2191,0.0329,0.0748,0.0522,-0.042,,-0.1669,0.0083,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,pca_only,0.2306,0.2167,0.0745,0.1373,0.1422,-0.0983,-0.0933,0.008,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,per_cloud,0.2003,0.2168,0.1122,0.1499,0.1045,0.1574,-0.0504,0.0063,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,background,0.1881,0.1335,0.0725,0.1458,0.0611,-0.8927,-0.0423,0.0091,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,raw,0.2475,0.0329,0.0748,0.1485,-0.042,,-0.099,0.0099,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,pca_only,0.2488,0.2167,0.0745,0.1628,0.1422,-0.226,-0.086,0.01,100,3584
