model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,1,all,raw,0.2309,0.0329,0.0748,0.0576,-0.042,,-0.1733,0.0052,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,all,pca_only,0.2404,0.2167,0.0745,0.1303,0.1422,-0.1668,-0.1101,0.006,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,all,per_cloud,0.1878,0.2168,0.1122,0.1351,0.1045,0.2775,-0.0527,0.0071,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,all,background,0.2157,0.1442,0.0592,0.1135,0.085,-0.8412,-0.1022,0.0081,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,input,raw,0.246,0.0329,0.0748,0.1299,-0.042,,-0.1161,0.0089,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,input,pca_only,0.2472,0.2167,0.0745,0.1877,0.1422,-0.2149,-0.0595,0.009,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,input,per_cloud,0.2032,0.2168,0.1122,0.1787,0.1045,0.1297,-0.0245,0.0043,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,input,background,0.2607,0.1395,0.053,0.1345,0.0865,-1.4013,-0.1262,0.0056,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,generated,raw,0.2186,0.0329,0.0748,0.0476,-0.042,,-0.171,0.0051,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,generated,pca_only,0.2309,0.2167,0.0745,0.1265,0.1422,-0.1005,-0.1045,0.0055,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,generated,per_cloud,0.193,0.2168,0.1122,0.14,0.1045,0.227,-0.0531,0.0061,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,generated,background,0.1991,0.1395,0.053,0.0926,0.0865,-0.6893,-0.1065,0.0059,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,thinking,raw,0.2157,0.0322,0.0761,0.0522,-0.0439,,-0.1635,0.0117,91,3584
Qwen/Qwen2.5-7B,prontoqa,2,thinking,pca_only,0.2168,0.2268,0.0758,0.1605,0.151,0.0659,-0.0563,0.012,91,3584
Qwen/Qwen2.5-7B,prontoqa,2,thinking,per_cloud,0.1382,0.2276,0.1002,0.1411,0.1273,0.7021,0.0029,0.009,91,3584
Qwen/Qwen2.5-7B,prontoqa,2,thinking,background,0.1683,0.1394,0.0536,0.151,0.0858,-0.3369,-0.0173,0.0335,91,3584
Qwen/Qwen2.5-7B,prontoqa,2,last,raw,0.0845,0.0329,0.0748,0.0546,-0.042,,-0.0299,0.0115,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,last,pca_only,0.0848,0.2167,0.0745,0.1792,0.1422,0.9277,0.0944,0.0114,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,last,per_cloud,0.1381,0.2168,0.1122,0.1681,0.1045,0.7528,0.03,0.0093,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,last,background,0.1562,0.1395,0.053,0.148,0.0865,-0.193,-0.0082,0.0164,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,all,raw,0.2225,0.0329,0.0748,0.065,-0.042,,-0.1575,0.0067,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,all,pca_only,0.2308,0.2167,0.0745,0.129,0.1422,-0.0998,-0.1018,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,all,per_cloud,0.1901,0.2168,0.1122,0.139,0.1045,0.2551,-0.0511,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,2,all,background,0.2106,0.1395,0.053,0.104,0.0865,-0.8217,-0.1066,0.0074,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,input,raw,0.2471,0.0329,0.0748,0.115,-0.042,,-0.1321,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,input,pca_only,0.2488,0.2167,0.0745,0.1911,0.1422,-0.2259,-0.0576,0.0062,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,input,per_cloud,0.2096,0.2168,0.1122,0.1801,0.1045,0.0682,-0.0295,0.0045,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,input,background,0.2623,0.1428,0.0781,0.1367,0.0647,-1.8463,-0.1256,0.0052,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,generated,raw,0.2147,0.0329,0.0748,0.0451,-0.042,,-0.1696,0.0062,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,generated,pca_only,0.2287,0.2167,0.0745,0.1371,0.1422,-0.0847,-0.0916,0.0067,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,generated,per_cloud,0.1953,0.2168,0.1122,0.145,0.1045,0.2052,-0.0504,0.0059,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,generated,background,0.1955,0.1428,0.0781,0.099,0.0647,-0.8138,-0.0965,0.009,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,thinking,raw,0.2177,0.0322,0.0761,0.054,-0.0439,,-0.1637,0.0134,91,3584
Qwen/Qwen2.5-7B,prontoqa,3,thinking,pca_only,0.2192,0.2268,0.0758,0.1657,0.151,0.0502,-0.0535,0.0135,91,3584
Qwen/Qwen2.5-7B,prontoqa,3,thinking,per_cloud,0.1376,0.2276,0.1002,0.1398,0.1273,0.7065,0.0022,0.0078,91,3584
Qwen/Qwen2.5-7B,prontoqa,3,thinking,background,0.1891,0.1427,0.0754,0.1331,0.0673,-0.6899,-0.056,0.0266,91,3584
Qwen/Qwen2.5-7B,prontoqa,3,last,raw,0.0357,0.0329,0.0748,0.0594,-0.042,,0.0238,0.0043,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,last,pca_only,0.0362,0.2167,0.0745,0.1964,0.1422,1.2694,0.1602,0.0044,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,last,per_cloud,0.138,0.2168,0.1122,0.1852,0.1045,0.7535,0.0472,0.0093,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,last,background,0.0635,0.1428,0.0781,0.1597,0.0647,1.2255,0.0962,0.0102,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,all,raw,0.2262,0.0329,0.0748,0.06,-0.042,,-0.1662,0.0053,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,all,pca_only,0.2337,0.2167,0.0745,0.1457,0.1422,-0.1202,-0.088,0.0059,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,all,per_cloud,0.1924,0.2168,0.1122,0.155,0.1045,0.233,-0.0374,0.0073,100,3584
Qwen/Qwen2.5-7B,prontoqa,3,all,background,0.2152,0.1428,0.0781,0.112,0.0647,-1.1178,-0.1032,0.0069,100,3584
