model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,2,4,-0.0081,0.023,0.0311,0.0286,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,3,4,0.0274,0.0012,-0.0262,-0.0246,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,5,4,0.0196,0.0213,0.0017,0.0106,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,8,4,-0.0086,0.113,0.1216,0.0096,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,16,4,0.0833,0.0828,-0.0005,0.0036,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,2,5,0.014,0.0154,0.0014,0.0048,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,3,5,0.0439,0.0319,-0.012,0.0116,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,5,5,0.0437,0.0829,0.0392,0.0355,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,8,5,0.0602,0.0652,0.005,-0.0069,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,16,5,0.0779,0.0043,-0.0736,-0.0032,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,2,0,0.0016,-0.0301,-0.0317,-0.0201,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,3,0,-0.0057,0.0445,0.0502,-0.0096,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,5,0,-0.0296,0.0907,0.1203,0.0072,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,8,0,-0.0148,0.1122,0.127,0.0097,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,16,0,0.0322,0.0806,0.0483,0.0061,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,2,1,0.028,0.0042,-0.0238,0.0252,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,3,1,0.0066,0.0232,0.0166,0.0135,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,5,1,0.0472,0.1267,0.0795,-0.0357,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,8,1,0.0204,0.1022,0.0819,-0.0341,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,16,1,0.1106,0.0737,-0.037,-0.035,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,2,2,0.0401,0.0739,0.0338,-0.0223,42,18
